------------------------------------------------------------------------------------------------------------------------------------------------------
PID                 Executed Processing Time      PC                  State               I/O                 CPU                 Transition
5                   5738                          5739                READY               294                 294                 WAITING -> READY
9                   6134                          6135                READY               289                 289                 WAITING -> READY
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5531                          5532                WAITING             278                 278                 WAITING -> WAITING
5                   5738                          5739                RUNNING             294                 295                 READY -> RUNNING
5                   5751                          5752                WAITING             295                 295                 RUNNING -> WAITING
9                   6134                          6135                RUNNING             289                 290                 READY -> RUNNING
9                   6139                          6140                WAITING             290                 290                 RUNNING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5531                          5532                READY               278                 278                 WAITING -> READY
5                   5751                          5752                WAITING             295                 295                 WAITING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5531                          5532                RUNNING             278                 279                 READY -> RUNNING
2                   5537                          5538                WAITING             279                 279                 RUNNING -> WAITING
5                   5751                          5752                WAITING             295                 295                 WAITING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5537                          5538                READY               279                 279                 WAITING -> READY
5                   5751                          5752                READY               295                 295                 WAITING -> READY
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5537                          5538                RUNNING             279                 280                 READY -> RUNNING
2                   5557                          5558                WAITING             280                 280                 RUNNING -> WAITING
5                   5751                          5752                RUNNING             295                 296                 READY -> RUNNING
5                   5775                          5776                WAITING             296                 296                 RUNNING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5557                          5558                WAITING             280                 280                 WAITING -> WAITING
5                   5775                          5776                READY               296                 296                 WAITING -> READY
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5557                          5558                WAITING             280                 280                 WAITING -> WAITING
5                   5775                          5776                RUNNING             296                 297                 READY -> RUNNING
5                   5797                          5798                WAITING             297                 297                 RUNNING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5557                          5558                WAITING             280                 280                 WAITING -> WAITING
5                   5797                          5798                WAITING             297                 297                 WAITING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5557                          5558                WAITING             280                 280                 WAITING -> WAITING
5                   5797                          5798                READY               297                 297                 WAITING -> READY
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                WAITING             284                 284                 WAITING -> WAITING
2                   5557                          5558                WAITING             280                 280                 WAITING -> WAITING
5                   5797                          5798                RUNNING             297                 298                 READY -> RUNNING
5                   5835                          5836                WAITING             298                 298                 RUNNING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                READY               284                 284                 WAITING -> READY
2                   5557                          5558                WAITING             280                 280                 WAITING -> WAITING
5                   5835                          5836                WAITING             298                 298                 WAITING -> WAITING
9                   6139                          6140                WAITING             290                 290                 WAITING -> WAITING
0                   5921                          5922                RUNNING             284                 285                 READY -> RUNNING
0                   5927                          5928                WAITING             285                 285                 RUNNING -> WAITING
2                   5557                          5558                READY               280                 280                 WAITING -> READY
5                   5835                          5836                WAITING             298                 298                 WAITING -> WAITING
9                   6139                          6140                READY               290                 290                 WAITING -> READY
0                   5927                          5928                WAITING             285                 285                 WAITING -> WAITING
2                   5557                          5558                RUNNING             280                 281                 READY -> RUNNING
2                   5559                          5560                WAITING             281                 281                 RUNNING -> WAITING
5                   5835                          5836                WAITING             298                 298                 WAITING -> WAITING
9                   6139                          6140                RUNNING             290                 291                 READY -> RUNNING
9                   6167                          6168                WAITING             291                 291                 RUNNING -> WAITING
0                   5927                          5928                WAITING             285                 285                 WAITING -> WAITING
2                   5559                          5560                WAITING             281                 281                 WAITING -> WAITING
5                   5835                          5836                WAITING             298                 298                 WAITING -> WAITING
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   5927                          5928                WAITING             285                 285                 WAITING -> WAITING
2                   5559                          5560                READY               281                 281                 WAITING -> READY
5                   5835                          5836                READY               298                 298                 WAITING -> READY
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   5927                          5928                WAITING             285                 285                 WAITING -> WAITING
2                   5559                          5560                RUNNING             281                 282                 READY -> RUNNING
2                   5563                          5564                WAITING             282                 282                 RUNNING -> WAITING
5                   5835                          5836                RUNNING             298                 299                 READY -> RUNNING
5                   5866                          5867                WAITING             299                 299                 RUNNING -> WAITING
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   5927                          5928                WAITING             285                 285                 WAITING -> WAITING
2                   5563                          5564                WAITING             282                 282                 WAITING -> WAITING
5                   5866                          5867                READY               299                 299                 WAITING -> READY
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   5927                          5928                WAITING             285                 285                 WAITING -> WAITING
2                   5563                          5564                WAITING             282                 282                 WAITING -> WAITING
5                   5866                          5867                RUNNING             299                 300                 READY -> RUNNING
5                   5882                          5883                WAITING             300                 300                 RUNNING -> WAITING
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   5927                          5928                READY               285                 285                 WAITING -> READY
2                   5563                          5564                WAITING             282                 282                 WAITING -> WAITING
5                   5882                          5883                READY               300                 300                 WAITING -> READY
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   5927                          5928                RUNNING             285                 286                 READY -> RUNNING
0                   6020                          6021                WAITING             286                 286                 RUNNING -> WAITING
2                   5563                          5564                WAITING             282                 282                 WAITING -> WAITING
5                   5882                          5883                RUNNING             300                 301                 READY -> RUNNING
5                   5939                          5940                WAITING             301                 301                 RUNNING -> WAITING
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   6020                          6021                WAITING             286                 286                 WAITING -> WAITING
2                   5563                          5564                WAITING             282                 282                 WAITING -> WAITING
5                   5939                          5940                WAITING             301                 301                 WAITING -> WAITING
9                   6167                          6168                WAITING             291                 291                 WAITING -> WAITING
0                   6020                          6021                WAITING             286                 286                 WAITING -> WAITING
2                   5563                          5564                READY               282                 282                 WAITING -> READY
5                   5939                          5940                WAITING             301                 301                 WAITING -> WAITING
9                   6167                          6168                READY               291                 291                 WAITING -> READY
0                   6020                          6021                WAITING             286                 286                 WAITING -> WAITING
2                   5563                          5564                RUNNING             282                 283                 READY -> RUNNING
2                   5573                          5574                WAITING             283                 283                 RUNNING -> WAITING
5                   5939                          5940                WAITING             301                 301                 WAITING -> WAITING
9                   6167                          6168                RUNNING             291                 292                 READY -> RUNNING
9                   6186                          6187                WAITING             292                 292                 RUNNING -> WAITING
0                   6020                          6021                WAITING             286                 286                 WAITING -> WAITING
2                   5573                          5574                WAITING             283                 283                 WAITING -> WAITING
5                   5939                          5940                WAITING             301                 301                 WAITING -> WAITING
9                   6186                          6187                WAITING             292                 292                 WAITING -> WAITING
0                   6020                          6021                READY               286                 286                 WAITING -> READY
2                   5573                          5574                WAITING             283                 283                 WAITING -> WAITING
5                   5939                          5940                READY               301                 301                 WAITING -> READY
9                   6186                          6187                WAITING             292                 292                 WAITING -> WAITING
0                   6020                          6021                RUNNING             286                 287                 READY -> RUNNING
0                   6026                          6027                WAITING             287                 287                 RUNNING -> WAITING
2                   5573                          5574                WAITING             283                 283                 WAITING -> WAITING
5                   5939                          5940                RUNNING             301                 302                 READY -> RUNNING
5                   5985                          5986                WAITING             302                 302                 RUNNING -> WAITING
9                   6186                          6187                WAITING             292                 292                 WAITING -> WAITING
0                   6026                          6027                WAITING             287                 287                 WAITING -> WAITING
2                   5573                          5574                WAITING             283                 283                 WAITING -> WAITING
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6186                          6187                WAITING             292                 292                 WAITING -> WAITING
0                   6026                          6027                WAITING             287                 287                 WAITING -> WAITING
2                   5573                          5574                WAITING             283                 283                 WAITING -> WAITING
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6186                          6187                WAITING             292                 292                 WAITING -> WAITING
0                   6026                          6027                WAITING             287                 287                 WAITING -> WAITING
2                   5573                          5574                WAITING             283                 283                 WAITING -> WAITING
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6186                          6187                WAITING             292                 292                 WAITING -> WAITING
0                   6026                          6027                READY               287                 287                 WAITING -> READY
2                   5573                          5574                READY               283                 283                 WAITING -> READY
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6186                          6187                READY               292                 292                 WAITING -> READY
0                   6026                          6027                RUNNING             287                 288                 READY -> RUNNING
0                   6037                          6038                WAITING             288                 288                 RUNNING -> WAITING
2                   5573                          5574                RUNNING             283                 284                 READY -> RUNNING
2                   5578                          5579                WAITING             284                 284                 RUNNING -> WAITING
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6186                          6187                RUNNING             292                 293                 READY -> RUNNING
9                   6191                          6192                WAITING             293                 293                 RUNNING -> WAITING
0                   6037                          6038                WAITING             288                 288                 WAITING -> WAITING
2                   5578                          5579                READY               284                 284                 WAITING -> READY
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6191                          6192                WAITING             293                 293                 WAITING -> WAITING
0                   6037                          6038                READY               288                 288                 WAITING -> READY
2                   5578                          5579                RUNNING             284                 285                 READY -> RUNNING
2                   5595                          5596                WAITING             285                 285                 RUNNING -> WAITING
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6191                          6192                READY               293                 293                 WAITING -> READY
0                   6037                          6038                RUNNING             288                 289                 READY -> RUNNING
0                   6038                          6039                WAITING             289                 289                 RUNNING -> WAITING
2                   5595                          5596                WAITING             285                 285                 WAITING -> WAITING
5                   5985                          5986                WAITING             302                 302                 WAITING -> WAITING
9                   6191                          6192                RUNNING             293                 294                 READY -> RUNNING
9                   6214                          6215                WAITING             294                 294                 RUNNING -> WAITING
0                   6038                          6039                WAITING             289                 289                 WAITING -> WAITING
2                   5595                          5596                READY               285                 285                 WAITING -> READY
5                   5985                          5986                READY               302                 302                 WAITING -> READY
9                   6214                          6215                WAITING             294                 294                 WAITING -> WAITING
0                   6038                          6039                WAITING             289                 289                 WAITING -> WAITING
2                   5595                          5596                RUNNING             285                 286                 READY -> RUNNING
2                   5619                          5620                WAITING             286                 286                 RUNNING -> WAITING
5                   5985                          5986                RUNNING             302                 303                 READY -> RUNNING
5                   6008                          6009                WAITING             303                 303                 RUNNING -> WAITING
9                   6214                          6215                WAITING             294                 294                 WAITING -> WAITING
0                   6038                          6039                WAITING             289                 289                 WAITING -> WAITING
2                   5619                          5620                READY               286                 286                 WAITING -> READY
5                   6008                          6009                WAITING             303                 303                 WAITING -> WAITING
9                   6214                          6215                WAITING             294                 294                 WAITING -> WAITING
0                   6038                          6039                READY               289                 289                 WAITING -> READY
2                   5619                          5620                RUNNING             286                 287                 READY -> RUNNING
2                   5648                          5649                WAITING             287                 287                 RUNNING -> WAITING
5                   6008                          6009                WAITING             303                 303                 WAITING -> WAITING
9                   6214                          6215                WAITING             294                 294                 WAITING -> WAITING
0                   6038                          6039                RUNNING             289                 290                 READY -> RUNNING
0                   6102                          6103                WAITING             290                 290                 RUNNING -> WAITING
2                   5648                          5649                WAITING             287                 287                 WAITING -> WAITING
5                   6008                          6009                WAITING             303                 303                 WAITING -> WAITING
9                   6214                          6215                WAITING             294                 294                 WAITING -> WAITING
0                   6102                          6103                WAITING             290                 290                 WAITING -> WAITING
2                   5648                          5649                WAITING             287                 287                 WAITING -> WAITING
5                   6008                          6009                WAITING             303                 303                 WAITING -> WAITING
9                   6214                          6215                READY               294                 294                 WAITING -> READY
0                   6102                          6103                READY               290                 290                 WAITING -> READY
2                   5648                          5649                READY               287                 287                 WAITING -> READY
5                   6008                          6009                READY               303                 303                 WAITING -> READY
9                   6214                          6215                RUNNING             294                 295                 READY -> RUNNING
9                   6235                          6236                WAITING             295                 295                 RUNNING -> WAITING
0                   6102                          6103                RUNNING             290                 291                 READY -> RUNNING
0                   6130                          6131                WAITING             291                 291                 RUNNING -> WAITING
2                   5648                          5649                RUNNING             287                 288                 READY -> RUNNING
2                   5700                          5701                WAITING             288                 288                 RUNNING -> WAITING
5                   6008                          6009                RUNNING             303                 304                 READY -> RUNNING
5                   6022                          6023                WAITING             304                 304                 RUNNING -> WAITING
9                   6235                          6236                WAITING             295                 295                 WAITING -> WAITING
0                   6130                          6131                WAITING             291                 291                 WAITING -> WAITING
2                   5700                          5701                WAITING             288                 288                 WAITING -> WAITING
5                   6022                          6023                WAITING             304                 304                 WAITING -> WAITING
9                   6235                          6236                WAITING             295                 295                 WAITING -> WAITING
0                   6130                          6131                WAITING             291                 291                 WAITING -> WAITING
2                   5700                          5701                READY               288                 288                 WAITING -> READY
5                   6022                          6023                WAITING             304                 304                 WAITING -> WAITING
9                   6235                          6236                WAITING             295                 295                 WAITING -> WAITING
0                   6130                          6131                WAITING             291                 291                 WAITING -> WAITING
2                   5700                          5701                RUNNING             288                 289                 READY -> RUNNING
2                   5702                          5703                WAITING             289                 289                 RUNNING -> WAITING
5                   6022                          6023                WAITING             304                 304                 WAITING -> WAITING
9                   6235                          6236                WAITING             295                 295                 WAITING -> WAITING
0                   6130                          6131                WAITING             291                 291                 WAITING -> WAITING
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6022                          6023                READY               304                 304                 WAITING -> READY
9                   6235                          6236                WAITING             295                 295                 WAITING -> WAITING
0                   6130                          6131                WAITING             291                 291                 WAITING -> WAITING
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6022                          6023                RUNNING             304                 305                 READY -> RUNNING
5                   6030                          6031                WAITING             305                 305                 RUNNING -> WAITING
9                   6235                          6236                READY               295                 295                 WAITING -> READY
0                   6130                          6131                WAITING             291                 291                 WAITING -> WAITING
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6030                          6031                WAITING             305                 305                 WAITING -> WAITING
9                   6235                          6236                RUNNING             295                 296                 READY -> RUNNING
9                   6315                          6316                WAITING             296                 296                 RUNNING -> WAITING
0                   6130                          6131                READY               291                 291                 WAITING -> READY
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6030                          6031                READY               305                 305                 WAITING -> READY
9                   6315                          6316                READY               296                 296                 WAITING -> READY
0                   6130                          6131                RUNNING             291                 292                 READY -> RUNNING
0                   6143                          6144                WAITING             292                 292                 RUNNING -> WAITING
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6030                          6031                RUNNING             305                 306                 READY -> RUNNING
5                   6038                          6039                WAITING             306                 306                 RUNNING -> WAITING
9                   6315                          6316                RUNNING             296                 297                 READY -> RUNNING
9                   6330                          6331                WAITING             297                 297                 RUNNING -> WAITING
0                   6143                          6144                WAITING             292                 292                 WAITING -> WAITING
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6038                          6039                READY               306                 306                 WAITING -> READY
9                   6330                          6331                READY               297                 297                 WAITING -> READY
0                   6143                          6144                READY               292                 292                 WAITING -> READY
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6038                          6039                RUNNING             306                 307                 READY -> RUNNING
5                   6058                          6059                WAITING             307                 307                 RUNNING -> WAITING
9                   6330                          6331                RUNNING             297                 298                 READY -> RUNNING
9                   6335                          6336                WAITING             298                 298                 RUNNING -> WAITING
0                   6143                          6144                RUNNING             292                 293                 READY -> RUNNING
0                   6176                          6177                WAITING             293                 293                 RUNNING -> WAITING
2                   5702                          5703                WAITING             289                 289                 WAITING -> WAITING
5                   6058                          6059                READY               307                 307                 WAITING -> READY
9                   6335                          6336                READY               298                 298                 WAITING -> READY
0                   6176                          6177                WAITING             293                 293                 WAITING -> WAITING
2                   5702                          5703                READY               289                 289                 WAITING -> READY
5                   6058                          6059                RUNNING             307                 308                 READY -> RUNNING
5                   6069                          6070                WAITING             308                 308                 RUNNING -> WAITING
9                   6335                          6336                RUNNING             298                 299                 READY -> RUNNING
9                   6336                          6337                WAITING             299                 299                 RUNNING -> WAITING
0                   6176                          6177                WAITING             293                 293                 WAITING -> WAITING
2                   5702                          5703                RUNNING             289                 290                 READY -> RUNNING
2                   5716                          5717                WAITING             290                 290                 RUNNING -> WAITING
5                   6069                          6070                READY               308                 308                 WAITING -> READY
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6176                          6177                WAITING             293                 293                 WAITING -> WAITING
2                   5716                          5717                WAITING             290                 290                 WAITING -> WAITING
5                   6069                          6070                RUNNING             308                 309                 READY -> RUNNING
5                   6106                          6107                WAITING             309                 309                 RUNNING -> WAITING
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6176                          6177                READY               293                 293                 WAITING -> READY
2                   5716                          5717                WAITING             290                 290                 WAITING -> WAITING
5                   6106                          6107                WAITING             309                 309                 WAITING -> WAITING
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6176                          6177                RUNNING             293                 294                 READY -> RUNNING
0                   6197                          6198                WAITING             294                 294                 RUNNING -> WAITING
2                   5716                          5717                WAITING             290                 290                 WAITING -> WAITING
5                   6106                          6107                READY               309                 309                 WAITING -> READY
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6197                          6198                WAITING             294                 294                 WAITING -> WAITING
2                   5716                          5717                WAITING             290                 290                 WAITING -> WAITING
5                   6106                          6107                RUNNING             309                 310                 READY -> RUNNING
5                   6123                          6124                WAITING             310                 310                 RUNNING -> WAITING
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6197                          6198                READY               294                 294                 WAITING -> READY
2                   5716                          5717                READY               290                 290                 WAITING -> READY
5                   6123                          6124                READY               310                 310                 WAITING -> READY
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6197                          6198                RUNNING             294                 295                 READY -> RUNNING
0                   6230                          6231                WAITING             295                 295                 RUNNING -> WAITING
2                   5716                          5717                RUNNING             290                 291                 READY -> RUNNING
2                   5724                          5725                WAITING             291                 291                 RUNNING -> WAITING
5                   6123                          6124                RUNNING             310                 311                 READY -> RUNNING
5                   6192                          6193                WAITING             311                 311                 RUNNING -> WAITING
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6230                          6231                WAITING             295                 295                 WAITING -> WAITING
2                   5724                          5725                WAITING             291                 291                 WAITING -> WAITING
5                   6192                          6193                READY               311                 311                 WAITING -> READY
9                   6336                          6337                WAITING             299                 299                 WAITING -> WAITING
0                   6230                          6231                READY               295                 295                 WAITING -> READY
2                   5724                          5725                READY               291                 291                 WAITING -> READY
5                   6192                          6193                RUNNING             311                 312                 READY -> RUNNING
